g,l,st,score,thr_ratio,loss_reduction,reward_gain,avg_reward,delivered_per_step,loss_bytes_per_step
400,0.25,0.35,0.2199868088903033,1.0367833702733236,0.05770237172012497,0.13704154124087975,0.6017812426648886,1136.3892222222223,469.15166666666664
400,0.35,0.35,0.2199868088903033,1.0367833702733236,0.05770237172012497,0.13704154124087975,0.6017812426648886,1136.3892222222223,469.15166666666664
400,0.45,0.35,0.2199868088903033,1.0367833702733236,0.05770237172012497,0.13704154124087975,0.6017812426648886,1136.3892222222223,469.15166666666664
400,0.25,0.45,0.2173817212927218,1.035887849216718,0.057361370699130325,0.13560477551669947,0.6003444769407084,1135.4076666666667,469.32144444444447
400,0.45,0.45,0.2173817212927218,1.035887849216718,0.057361370699130325,0.13560477551669947,0.6003444769407084,1135.4076666666667,469.32144444444447
400,0.35,0.45,0.2173817212927218,1.035887849216718,0.057361370699130325,0.13560477551669947,0.6003444769407084,1135.4076666666667,469.32144444444447
400,0.25,0.55,0.21520293513690614,1.035102823739884,0.05746603658842775,0.1341272821262799,0.5988669835502888,1134.5472222222222,469.26933333333335
400,0.35,0.55,0.21520293513690614,1.035102823739884,0.05746603658842775,0.1341272821262799,0.5988669835502888,1134.5472222222222,469.26933333333335
400,0.45,0.55,0.21520293513690614,1.035102823739884,0.05746603658842775,0.1341272821262799,0.5988669835502888,1134.5472222222222,469.26933333333335
600,0.25,0.35,0.21482337263912005,1.0336956777373099,0.06280198842872864,0.1308861041588273,0.5956258055828362,1133.004888888889,466.61266666666666
600,0.45,0.35,0.21482337263912005,1.0336956777373099,0.06280198842872864,0.1308861041588273,0.5956258055828362,1133.004888888889,466.61266666666666
600,0.35,0.35,0.21482337263912005,1.0336956777373099,0.06280198842872864,0.1308861041588273,0.5956258055828362,1133.004888888889,466.61266666666666
600,0.35,0.45,0.21221828504153878,1.0328001566807046,0.062460987407733995,0.129449338434647,0.5941890398586559,1132.0233333333333,466.7824444444445
600,0.25,0.45,0.21221828504153878,1.0328001566807046,0.062460987407733995,0.129449338434647,0.5941890398586559,1132.0233333333333,466.7824444444445
600,0.45,0.45,0.21221828504153878,1.0328001566807046,0.062460987407733995,0.129449338434647,0.5941890398586559,1132.0233333333333,466.7824444444445
600,0.25,0.55,0.210039498885723,1.0320151312038703,0.06256565329703141,0.12797184504422754,0.5927115464682364,1131.1628888888888,466.73033333333336
600,0.35,0.55,0.210039498885723,1.0320151312038703,0.06256565329703141,0.12797184504422754,0.5927115464682364,1131.1628888888888,466.73033333333336
600,0.45,0.55,0.210039498885723,1.0320151312038703,0.06256565329703141,0.12797184504422754,0.5927115464682364,1131.1628888888888,466.73033333333336
800,0.25,0.35,0.18229545003565056,1.0310052624280155,0.032093373578000246,0.12561548874523487,0.5903551901692438,1130.0559999999998,481.9018888888889
800,0.35,0.35,0.18229545003565056,1.0310052624280155,0.032093373578000246,0.12561548874523487,0.5903551901692438,1130.0559999999998,481.9018888888889
800,0.45,0.35,0.18229545003565056,1.0310052624280155,0.032093373578000246,0.12561548874523487,0.5903551901692438,1130.0559999999998,481.9018888888889
800,0.25,0.45,0.1796903624380695,1.0301097413714102,0.03175237255700572,0.1241787230210547,0.5889184244450636,1129.0744444444445,482.07166666666666
800,0.45,0.45,0.1796903624380695,1.0301097413714102,0.03175237255700572,0.1241787230210547,0.5889184244450636,1129.0744444444445,482.07166666666666
800,0.35,0.45,0.1796903624380695,1.0301097413714102,0.03175237255700572,0.1241787230210547,0.5889184244450636,1129.0744444444445,482.07166666666666
800,0.35,0.55,0.17756119320251681,1.0294023669166907,0.03158254155113085,0.1228927930449214,0.5876324944689303,1128.2991111111112,482.1562222222222
800,0.25,0.55,0.17756119320251681,1.0294023669166907,0.03158254155113085,0.1228927930449214,0.5876324944689303,1128.2991111111112,482.1562222222222
800,0.45,0.55,0.17756119320251681,1.0294023669166907,0.03158254155113085,0.1228927930449214,0.5876324944689303,1128.2991111111112,482.1562222222222
1000,0.25,0.35,0.1508572486156885,1.0270898667646327,0.0056334350608414204,0.11926063380238272,0.5840003352263916,1125.7644444444445,495.0757777777778
1000,0.35,0.35,0.1508572486156885,1.0270898667646327,0.0056334350608414204,0.11926063380238272,0.5840003352263916,1125.7644444444445,495.0757777777778
1000,0.45,0.35,0.1508572486156885,1.0270898667646327,0.0056334350608414204,0.11926063380238272,0.5840003352263916,1125.7644444444445,495.0757777777778
1000,0.35,0.45,0.14825216101810712,1.0261943457080271,0.005292434039846893,0.11782386807820244,0.5825635695022113,1124.782888888889,495.24555555555554
1000,0.25,0.45,0.14825216101810712,1.0261943457080271,0.005292434039846893,0.11782386807820244,0.5825635695022113,1124.782888888889,495.24555555555554
1000,0.45,0.45,0.14825216101810712,1.0261943457080271,0.005292434039846893,0.11782386807820244,0.5825635695022113,1124.782888888889,495.24555555555554
1000,0.25,0.55,0.14612299178255433,1.0254869712533077,0.005122603033971908,0.11653793810206914,0.581277639526078,1124.0075555555557,495.33011111111114
1000,0.35,0.55,0.14612299178255433,1.0254869712533077,0.005122603033971908,0.11653793810206914,0.581277639526078,1124.0075555555557,495.33011111111114
1000,0.45,0.55,0.14612299178255433,1.0254869712533077,0.005122603033971908,0.11653793810206914,0.581277639526078,1124.0075555555557,495.33011111111114
